date,maxtemp,mintemp,atobstemp,avgtemp,avgtempdiff,precip,snow,snowdepth
2018-12-30,37,24,25,30.5,5.9,0.02,0.7,1
2018-12-31,35,25,29,30,5.6,0,0,0
2019-01-01,51,29,47,40,15.8,0.45,0,0
2019-01-02,47,25,25,36,11.9,0,0,0
2019-01-03,36,25,32,30.5,6.6,0.03,0,0
2019-01-04,33,26,28,29.5,5.7,Trace,Trace,0
2019-01-05,43,28,33,35.5,11.8,0.38,0,0
2019-01-06,39,30,37,34.5,10.9,Trace,0,0
2019-01-07,38,13,13,25.5,2,0.01,Trace,Trace
2019-01-08,33,13,33,23,-0.4,0.02,0,0
2019-01-09,42,33,34,37.5,14.2,0.5,0,0
2019-01-10,34,21,21,27.5,4.2,0.03,0.5,Trace
2019-01-11,23,11,11,17,-6.2,0.04,0.8,1
2019-01-12,16,0,11,8,-15.2,0,0,1
2019-01-13,21,7,7,14,-9.1,0,0,1
2019-01-14,22,1,8,11.5,-11.6,Trace,Trace,1
2019-01-15,25,7,17,16,-7.1,0,0,1
2019-01-16,28,17,26,22.5,-0.5,0,0,Trace
2019-01-17,33,3,4,18,-5,Trace,Trace,Trace
2019-01-18,25,3,24,14,-9,0.02,0.4,1
2019-01-19,33,19,19,26,3,0.03,0.7,1
2019-01-20,21,16,17,18.5,-4.6,1.04,10.2,10
2019-01-21,17,-5,-5,6,-17.1,0.04,2.5,12
2019-01-22,9,-5,7,2,-21.1,0.06,1.2,10
2019-01-23,25,7,25,16,-7.1,Trace,Trace,9
2019-01-24,44,25,41,34.5,11.3,0.18,0,4
2019-01-25,44,23,25,33.5,10.3,0.36,0.9,5
2019-01-26,25,6,11,15.5,-7.8,0,0,5
2019-01-27,25,11,24,18,-5.3,Trace,Trace,5
2019-01-28,31,-1,-1,15,-8.4,Trace,Trace,5
2019-01-29,25,-2,23,11.5,-11.9,Trace,0.1,5
2019-01-30,27,-4,-1,11.5,-12,0.02,0.5,5
2019-01-31,13,-7,-5,3,-20.6,0.01,0.2,5
2019-02-01,9,-14,-11,-2.5,-26.1,0,0,5
2019-02-02,19,-11,-1,4,-19.7,0,0,4
2019-02-03,37,-2,37,17.5,-6.3,0,0,3
2019-02-04,49,36,42,42.5,18.6,0,0,Trace
2019-02-05,61,42,47,51.5,27.5,0.01,0,0
2019-02-06,52,27,27,39.5,15.4,0,0,0
2019-02-07,39,27,37,33,8.8,0.26,0,0
2019-02-08,50,33,41,41.5,17.2,0.16,0,0
2019-02-09,41,14,14,27.5,3.1,0,0,0
2019-02-10,22,11,12,16.5,-8,0,0,0
2019-02-11,31,12,24,21.5,-3.1,0.01,0.1,Trace
2019-02-12,31,23,24,27,2.3,Trace,Trace,Trace
2019-02-13,34,21,31,27.5,2.6,0.25,1.6,2
2019-02-14,32,22,24,27,2,0.01,0.4,2
2019-02-15,41,24,40,32.5,7.4,0,0,2
2019-02-16,48,24,24,36,10.7,0.02,Trace,1
2019-02-17,27,16,20,21.5,-3.9,Trace,Trace,Trace
2019-02-18,32,19,26,25.5,-0.1,0.06,0.4,Trace
2019-02-19,26,12,12,19,-6.7,0.03,0.6,1
2019-02-20,21,7,12,14,-11.9,0,0,Trace
2019-02-21,36,12,35,24,-2.1,0.16,Trace,Trace
2019-02-22,42,29,29,35.5,9.2,0,0,Trace
2019-02-23,32,20,20,26,-0.5,0,0,Trace
2019-02-24,38,19,35,28.5,1.8,Trace,0,Trace
2019-02-25,47,24,24,35.5,8.6,0.03,0.1,Trace
2019-02-26,24,16,17,20,-7.1,Trace,Trace,Trace
2019-02-27,20,13,13,16.5,-10.8,Trace,0.2,Trace
2019-02-28,22,12,12,17,-10.5,0.28,3.9,4
2019-03-01,20,11,16,15.5,-12.3,0.01,0.2,4
2019-03-02,34,16,29,25,-3,0,0,3
2019-03-03,37,25,25,31,2.8,0.05,0.5,3
2019-03-04,31,21,22,26,-2.5,0.11,1.5,5
2019-03-05,23,-6,-5,8.5,-20.3,0.04,1.3,5
2019-03-06,22,-5,9,8.5,-20.6,Trace,0.1,4
2019-03-07,17,-4,5,6.5,-22.8,Trace,0.2,4
2019-03-08,22,-4,-2,9,-20.6,0,0,4
2019-03-09,37,-3,6,17,-12.9,0,0,3
2019-03-10,42,6,33,24,-6.2,0.2,0.4,3
2019-03-11,42,33,35,37.5,6.9,0.03,0,Trace
2019-03-12,41,27,27,34,3.1,Trace,Trace,Trace
2019-03-13,34,16,17,25,-6.2,0,0,0
2019-03-14,45,16,40,30.5,-1.1,0,0,0
2019-03-15,61,39,56,50,18.1,0,0,0
2019-03-16,65,35,35,50,17.7,Trace,Trace,Trace
2019-03-17,35,24,24,29.5,-3.1,0.01,0.1,Trace
2019-03-18,32,16,18,24,-9,0,0,0
2019-03-19,37,15,16,26,-7.4,0.01,0.1,Trace
2019-03-20,42,16,27,29,-4.8,0,0,0
2019-03-21,52,27,37,39.5,5.3,0,0,0
2019-03-22,47,35,36,41,6.4,0.57,0,0
2019-03-23,39,23,23,31,-4,0.09,1.3,1
2019-03-24,36,19,22,27.5,-7.9,0,0,0
2019-03-25,46,22,28,34,-1.8,0,0,0
2019-03-26,39,17,17,28,-8.2,0,0,0
2019-03-27,37,15,16,26,-10.6,0,0,0
2019-03-28,49,16,34,32.5,-4.5,0,0,0
2019-03-29,58,34,44,46,8.6,0.05,0,0
2019-03-30,45,39,45,42,4.1,0.08,0,0
2019-03-31,64,35,35,49.5,11.2,0.19,0,0
2019-04-01,37,23,24,30,-8.7,0.06,0.1,Trace
2019-04-02,37,19,27,28,-11.2,0,0,0
2019-04-03,48,27,34,37.5,-2.1,0,0,0
2019-04-04,52,21,24,36.5,-3.5,0,0,0
2019-04-05,41,24,30,32.5,-7.9,0,0,0
2019-04-06,39,30,39,34.5,-6.4,0.18,Trace,0
2019-04-07,58,34,35,46,4.7,0,0,0
2019-04-08,69,35,54,52,10.3,0.08,0,0
2019-04-09,70,39,46,54.5,12.4,0.01,0,0
2019-04-10,66,33,33,49.5,6.9,0.01,0,0
2019-04-11,41,27,31,34,-9,0,0,0
2019-04-12,47,31,47,39,-4.4,Trace,0,0
2019-04-13,67,47,54,57,13.2,0.09,0,0
2019-04-14,69,36,42,52.5,8.3,0,0,0
2019-04-15,66,42,45,54,9.4,1.16,0,0
2019-04-16,45,29,31,37,-8,0.22,Trace,0
2019-04-17,50,31,34,40.5,-4.9,0.1,0,0
2019-04-18,61,33,49,47,1.2,0.01,0,0
2019-04-19,65,49,62,57,10.8,0,0,0
2019-04-20,70,41,42,55.5,8.9,1,0,0
2019-04-21,74,42,46,58,11,0.02,0,0
2019-04-22,56,44,45,50,2.6,0,0,0
2019-04-23,57,38,40,47.5,-0.2,0,0,0
2019-04-24,75,40,43,57.5,9.4,0.07,0,0
2019-04-25,53,31,34,42,-6.5,0,0,0
2019-04-26,67,34,52,50.5,1.7,0.21,0,0
2019-04-27,64,39,39,51.5,2.3,0.39,0,0
2019-04-28,44,34,38,39,-10.5,0.02,Trace,0
2019-04-29,44,24,29,34,-15.9,0.04,0,0
2019-04-30,50,29,45,39.5,-10.7,0.08,0,0
2019-05-01,49,40,46,44.5,-6.1,0.03,0,0
2019-05-02,63,46,57,54.5,3.6,0.01,0,0
2019-05-03,63,45,57,54,2.7,0.07,0,0
2019-05-04,72,45,45,58.5,6.9,0.13,0,0
2019-05-05,57,45,46,51,-0.9,Trace,0,0
2019-05-06,54,46,51,50,-2.3,0.26,0,0
2019-05-07,70,51,53,60.5,7.9,0,0,0
2019-05-08,57,41,41,49,-3.9,0.21,0,0
2019-05-09,57,37,49,47,-6.2,0,0,0
2019-05-10,63,49,57,56,2.5,0.31,0,0
2019-05-11,76,43,43,59.5,5.6,0.12,0,0
2019-05-12,56,43,43,49.5,-4.7,0.05,0,0
2019-05-13,45,40,40,42.5,-12,0.53,0,0
2019-05-14,44,40,43,42,-12.8,0.84,0,0
2019-05-15,45,39,43,42,-13.1,0.14,0,0
2019-05-16,66,41,46,53.5,-2,0.24,0,0
2019-05-17,64,46,59,55,-0.8,0.01,0,0
2019-05-18,69,36,41,52.5,-3.6,0.04,0,0
2019-05-19,68,41,62,54.5,-1.9,0,0,0
2019-05-20,86,62,67,74,17.3,0.09,0,0
2019-05-21,78,43,45,60.5,3.4,0,0,0
2019-05-22,61,36,41,48.5,-8.9,0,0,0
2019-05-23,70,41,56,55.5,-2.2,0.07,0,0
2019-05-24,78,55,55,66.5,8.5,0.01,0,0
2019-05-25,64,42,48,53,-5.3,0,0,0
2019-05-26,77,48,63,62.5,3.9,0.68,0,0
2019-05-27,79,46,51,62.5,3.5,0,0,0
2019-05-28,73,51,56,62,2.7,0.02,0,0
2019-05-29,75,49,50,62,2.4,0.3,0,0
2019-05-30,64,49,55,56.5,-3.4,0.02,0,0
2019-05-31,68,53,56,60.5,0.2,0.67,0,0
2019-06-01,72,51,59,61.5,0.9,0,0,0
2019-06-02,78,55,58,66.5,5.6,0.01,0,0
2019-06-03,67,42,48,54.5,-6.7,0.16,0,0
2019-06-04,60,37,44,48.5,-13,0,0,0
2019-06-05,66,44,65,55,-6.8,0,0,0
2019-06-06,78,58,58,68,5.9,1.1,0,0
2019-06-07,70,44,48,57,-5.4,0,0,0
2019-06-08,76,45,51,60.5,-2.2,0,0,0
2019-06-09,80,51,58,65.5,2.5,0,0,0
2019-06-10,80,58,60,69,5.7,0,0,0
2019-06-11,67,55,56,61,-2.6,0.32,0,0
2019-06-12,69,43,47,56,-7.9,0,0,0
2019-06-13,73,47,57,60,-4.2,0,0,0
2019-06-14,62,52,53,57,-7.5,0.44,0,0
2019-06-15,69,50,57,59.5,-5.3,Trace,0,0
2019-06-16,73,57,62,65,0,0.09,0,0
2019-06-17,67,53,54,60,-5.3,0.63,0,0
2019-06-18,74,53,58,63.5,-2,0.04,0,0
2019-06-19,76,58,66,67,1.2,0.08,0,0
2019-06-20,80,66,67,73,7,0.78,0,0
2019-06-21,73,57,58,65,-1.2,1.4,0,0
2019-06-22,71,48,52,59.5,-7,0,0,0
2019-06-23,73,48,52,60.5,-6.2,0,0,0
2019-06-24,77,51,56,64,-2.9,0,0,0
2019-06-25,76,55,66,65.5,-1.6,0.4,0,0
2019-06-26,82,55,60,68.5,1.3,0.01,0,0
2019-06-27,86,54,61,70,2.6,0.01,0,0
2019-06-28,83,57,60,70,2.4,0,0,0
2019-06-29,87,60,69,73.5,5.8,0,0,0
2019-06-30,84,58,64,71,3.1,0,0,0
2019-07-01,71,49,56,60,-8,0,0,0
2019-07-02,79,55,59,67,-1.1,Trace,0,0
2019-07-03,77,58,63,67.5,-0.8,0.01,0,0
2019-07-04,84,58,63,71,2.6,0,0,0
2019-07-05,89,63,73,76,7.5,0,0,0
2019-07-06,87,72,73,79.5,10.9,0,0,0
2019-07-07,85,65,65,75,6.4,1.06,0,0
2019-07-08,76,58,61,67,-1.7,0,0,0
2019-07-09,78,49,52,63.5,-5.3,0,0,0
2019-07-10,83,52,60,67.5,-1.3,0,0,0
2019-07-11,87,60,71,73.5,4.6,0.01,0,0
2019-07-12,81,65,65,73,4.1,0,0,0
2019-07-13,73,62,63,67.5,-1.5,0,0,0
2019-07-14,84,63,70,73.5,4.5,0,0,0
2019-07-15,79,51,57,65,-4,0,0,0
2019-07-16,80,57,69,68.5,-0.5,0,0,0
2019-07-17,90,68,71,79,10,0.71,0,0
2019-07-18,82,69,69,75.5,6.5,0.52,0,0
2019-07-19,84,68,73,76,7,0,0,0
2019-07-20,91,71,73,81,12,0.01,0,0
2019-07-21,90,71,73,80.5,11.5,0,0,0
2019-07-22,84,61,64,72.5,3.5,0,0,0
2019-07-23,66,62,62,64,-5,0.77,0,0
2019-07-24,75,51,56,63,-6,0,0,0
2019-07-25,76,51,53,63.5,-5.5,0,0,0
2019-07-26,78,53,57,65.5,-3.4,0,0,0
2019-07-27,84,57,60,70.5,1.6,0,0,0
2019-07-28,84,60,68,72,3.1,0,0,0
2019-07-29,82,64,67,73,4.2,0.08,0,0
2019-07-30,87,67,70,77,8.2,Trace,0,0
2019-07-31,88,63,65,75.5,6.8,0.55,0,0
2019-08-01,80,55,58,67.5,-1.2,0,0,0
2019-08-02,80,51,54,65.5,-3.2,0,0,0
2019-08-03,84,54,63,69,0.4,0.35,0,0
2019-08-04,81,57,58,69,0.4,0,0,0
2019-08-05,76,46,49,61,-7.5,0,0,0
2019-08-06,82,49,66,65.5,-3,0,0,0
2019-08-07,85,64,65,74.5,6.1,0.88,0,0
2019-08-08,77,61,62,69,0.7,0.04,0,0
2019-08-09,81,57,58,69,0.7,0.6,0,0
2019-08-10,76,51,54,63.5,-4.7,0.25,0,0
2019-08-11,71,49,51,60,-8.1,0,0,0
2019-08-12,76,51,54,63.5,-4.6,0,0,0
2019-08-13,81,54,66,67.5,-0.5,Trace,0,0
2019-08-14,80,62,63,71,3.1,0.03,0,0
2019-08-15,79,55,58,67,-0.8,0,0,0
2019-08-16,80,58,66,69,1.3,0.92,0,0
2019-08-17,81,59,61,70,2.4,0.03,0,0
2019-08-18,81,60,63,70.5,3,0.68,0,0
2019-08-19,83,63,67,73,5.6,0.1,0,0
2019-08-20,82,57,59,69.5,2.3,Trace,0,0
2019-08-21,84,59,70,71.5,4.4,0,0,0
2019-08-22,84,63,69,73.5,6.5,0.01,0,0
2019-08-23,74,50,51,62,-4.8,0,0,0
2019-08-24,70,45,46,57.5,-9.2,0,0,0
2019-08-25,67,46,48,56.5,-10,0,0,0
2019-08-26,73,48,50,60.5,-5.8,0,0,0
2019-08-27,73,50,60,61.5,-4.6,0,0,0
2019-08-28,69,59,65,64,-1.9,0.01,0,0
2019-08-29,68,52,53,60,-5.7,0.91,0,0
2019-08-30,74,53,60,63.5,-2,0,0,0
2019-08-31,76,46,47,61,-4.3,0,0,0
2019-09-01,70,47,52,58.5,-6.5,0,0,0
2019-09-02,70,52,62,61,-3.8,0.62,0,0
2019-09-03,70,52,54,61,-3.5,0,0,0
2019-09-04,76,54,67,65,0.8,Trace,0,0
2019-09-05,77,47,48,62,-1.9,0.23,0,0
2019-09-06,71,44,47,57.5,-6.1,0,0,0
2019-09-07,72,46,57,59,-4.3,Trace,0,0
2019-09-08,66,52,55,59,-4,0.02,0,0
2019-09-09,69,46,46,57.5,-5.2,0,0,0
2019-09-10,67,45,47,56,-6.3,0,0,0
2019-09-11,80,47,66,63.5,1.5,0.26,0,0
2019-09-12,83,60,60,71.5,9.9,0.02,0,0
2019-09-13,62,45,51,53.5,-7.7,0.09,0,0
2019-09-14,64,51,58,57.5,-3.4,0.01,0,0
2019-09-15,69,47,47,58,-2.5,0,0,0
2019-09-16,74,47,59,60.5,0.4,0.1,0,0
2019-09-17,70,42,42,56,-3.7,0,0,0
2019-09-18,70,39,41,54.5,-4.8,0,0,0
2019-09-19,71,41,48,56,-2.9,0,0,0
2019-09-20,70,42,42,56,-2.5,0,0,0
2019-09-21,75,42,47,58.5,0.4,0,0,0
2019-09-22,81,47,57,64,6.4,0,0,0
2019-09-23,85,57,67,71,13.8,0,0,0
2019-09-24,77,54,57,65.5,8.7,0.22,0,0
2019-09-25,65,44,44,54.5,-1.9,0.01,0,0
2019-09-26,76,44,61,60,4.1,0,0,0
2019-09-27,68,42,42,55,-0.5,0.12,0,0
2019-09-28,71,42,63,56.5,1.4,0,0,0
2019-09-29,80,56,56,68,13.3,0.08,0,0
2019-09-30,63,48,51,55.5,1.2,0,0,0
2019-10-01,63,51,63,57,3.1,0.04,0,0
2019-10-02,86,63,64,74.5,21,0.26,0,0
2019-10-03,71,48,48,59.5,6.4,0.21,0,0
2019-10-04,58,46,47,52,-0.7,0.78,0,0
2019-10-05,47,30,30,38.5,-13.8,0,0,0
2019-10-06,58,29,51,43.5,-8.4,0,0,0
2019-10-07,62,51,52,56.5,5,0.66,0,0
2019-10-08,56,43,43,49.5,-1.6,0.37,0,0
2019-10-09,63,36,38,49.5,-1.3,0,0,0
2019-10-10,60,35,37,47.5,-2.9,0,0,0
2019-10-11,63,33,33,48,-2.1,0,0,0
2019-10-12,69,33,47,51,1.3,0,0,0
2019-10-13,53,31,31,42,-7.4,0.1,0,0
2019-10-14,62,31,48,46.5,-2.5,0,0,0
2019-10-15,57,34,34,45.5,-3.2,0,0,0
2019-10-16,59,34,50,46.5,-1.9,0,0,0
2019-10-17,60,42,44,51,2.9,1.09,0,0
2019-10-18,45,41,41,43,-4.8,0.6,0,0
2019-10-19,48,28,28,38,-9.5,0.02,0,0
2019-10-20,58,28,46,43,-4.2,0,0,0
2019-10-21,59,38,39,48.5,1.6,Trace,0,0
2019-10-22,63,39,55,51,4.4,0,0,0
2019-10-23,57,39,40,48,1.6,0.59,0,0
2019-10-24,59,36,44,47.5,1.4,0,0,0
2019-10-25,69,40,43,54.5,8.7,0,0,0
2019-10-26,52,38,38,45,-0.6,0.03,0,0
2019-10-27,56,38,49,47,1.7,0.13,0,0
2019-10-28,62,49,50,55.5,10.5,0.3,0,0
2019-10-29,65,49,52,57,12.2,0,0,0
2019-10-30,63,52,54,57.5,13,0,0,0
2019-10-31,58,54,58,56,11.7,0.17,0,0
2019-11-01,68,39,40,53.5,9.5,1.52,0,0
2019-11-02,41,35,36,38,-5.7,0,0,0
2019-11-03,48,31,37,39.5,-4,0,0,0
2019-11-04,41,31,35,36,-7.2,0.02,0,0
2019-11-05,49,35,46,42,-0.9,Trace,0,0
2019-11-06,48,33,36,40.5,-2.2,0.09,0,0
2019-11-07,46,36,43,41,-1.4,0,0,0
2019-11-08,45,23,25,34,-8.1,0.19,1.4,1
2019-11-09,27,15,17,21,-20.8,0.02,0.4,1
2019-11-10,35,17,32,26,-15.5,0,0,0
2019-11-11,47,32,34,39.5,-1.7,0.01,0,0
2019-11-12,34,21,22,27.5,-13.4,0.21,1.1,1
2019-11-13,24,15,16,19.5,-21.1,0.03,1.1,2
2019-11-14,26,15,25,20.5,-19.8,0.01,Trace,1
2019-11-15,33,20,23,26.5,-13.5,0,0,1
2019-11-16,42,18,18,30,-9.7,0,0,0
2019-11-17,31,15,16,23,-16.3,0,0,0
2019-11-18,38,16,33,27,-12,0,0,0
2019-11-19,41,27,32,34,-4.6,0,0,0
2019-11-20,40,32,35,36,-2.3,0,0,0
2019-11-21,39,34,34,36.5,-1.4,Trace,0,0
2019-11-22,48,34,45,41,3.4,Trace,0,0
2019-11-23,45,22,22,33.5,-3.7,0.03,0,0
2019-11-24,41,22,35,31.5,-5.3,0.16,0,0
2019-11-25,42,27,40,34.5,-1.9,0,0,0
2019-11-26,47,38,38,42.5,6.5,0,0,0
2019-11-27,60,31,46,45.5,9.8,0,0,0
2019-11-28,57,36,39,46.5,11.2,0.16,0,0
2019-11-29,39,25,26,32,-2.9,0.08,Trace,Trace
2019-11-30,27,23,24,25,-9.5,Trace,0,0
2019-12-01,29,16,23,22.5,-11.6,0,0,0
2019-12-02,30,23,28,26.5,-7.2,0.76,7.5,8
2019-12-03,31,22,23,26.5,-6.8,0.21,3.5,11
2019-12-04,31,23,31,27,-5.9,Trace,Trace,10
2019-12-05,35,30,30,32.5,0,0.05,0.7,9
2019-12-06,32,26,29,29,-3.1,Trace,Trace,8
2019-12-07,36,25,25,30.5,-1.2,0.01,Trace,7
2019-12-08,29,6,18,17.5,-13.8,0,0,6
2019-12-09,39,18,38,28.5,-2.4,Trace,0,5
2019-12-10,47,37,45,42,11.5,0.17,0,0
2019-12-11,49,22,23,35.5,5.4,0.05,0.1,Trace
2019-12-12,33,12,12,22.5,-7.2,0,0,0
2019-12-13,30,12,30,21,-8.4,0,0,0
2019-12-14,43,30,39,36.5,7.5,0.05,0,0
2019-12-15,43,32,35,37.5,8.8,0.82,Trace,Trace
2019-12-16,35,23,24,29,0.7,0.01,0.1,Trace
2019-12-17,31,24,26,27.5,-0.5,0.16,1.9,2
2019-12-18,29,19,23,24,-3.7,0.2,2,4
2019-12-19,27,8,9,17.5,-9.8,0.02,0.5,4
2019-12-20,16,7,12,11.5,-15.5,0,0,3
2019-12-21,20,3,6,11.5,-15.2,0,0,2
2019-12-22,29,6,16,17.5,-8.9,0,0,2
2019-12-23,46,16,31,31,4.8,0,0,2
2019-12-24,53,30,31,41.5,15.6,0,0,1
2019-12-25,34,17,29,25.5,-0.2,0,0,1
2019-12-26,43,27,31,35,9.6,0,0,Trace
2019-12-27,42,30,41,36,10.8,0.01,0,0
2019-12-28,52,36,36,44,19,0,0,0
2019-12-29,42,23,26,32.5,7.7,0,0,0
2019-12-30,40,25,39,32.5,7.9,0.45,0,0
2019-12-31,42,35,35,38.5,14.1,0.31,0,0
